country,Africa,America,Asia,Europe,Oceania
Afghanistan,,,1,,
Albania,,,,1,
Algeria,1,,,,
Angola,1,,,,
Argentina,,1,,,
Armenia,,,1,1,
Australia,,,,,1
Austria,,,,1,
Azerbaijan,,,1,1,
Baden,,,,1,
Bahrain,,,1,,
Bavaria,,,,1,
Belgium,,,,1,
Benin,1,,,,
Burkina Faso,1,,,,
Bhutan,,,1,,
Belarus,,,,1,
Bangladesh,,,1,,
Bolivia,,1,,,
Bosnia,,,,1,
Botswana,1,,,,
Brazil,,1,,,
Burundi,1,,,,
Bulgaria,,,,1,
Cambodia,,,1,,
Canada,,1,,,
Cameroon,1,,,,
Cape Verde,1,,,,
Central African Republic,1,,,,
Chad,1,,,,
Chile,,1,,,
China,,,1,,
Colombia,,1,,,
Comoros,1,,,,
Congo-Brazzaville,1,,,,
Congo Brazzaville,1,,,,
Costa Rica,,1,,,
Croatia,,,,1,
Cuba,,1,,,
Cyprus,,,,1,
Czechoslovakia,,,,1,
Czech Republic,,,,1,
Denmark,,,,1,
Djibouti,1,,,,
Dominican Republic,,1,,,
Vietnam North,,,1,,
Ecuador,,1,,,
Egypt,1,,,,
Equatorial Guinea,1,,,,
Eritrea,1,,,,
Estonia,,,,1,
Ethiopia,1,,,,
Timor Leste,,,1,,
Finland,,,,1,
Fiji,,,,,1
France,,,,1,
Gabon,1,,,,
Gambia,1,,,,
Gran Colombia,,1,,,
Germany East,,,,1,
Germany West,,,,1,
Ghana,1,,,,
Prussia,,,,1,
Germany,,,,1,
Guinea-Bissau,1,,,,
Greece,,,,1,
Georgia,,,1,1,
Guatemala,,1,,,
Guinea,1,,,,
Guyana,,1,,,
Haiti,,1,,,
Honduras,,1,,,
Hungary,,,,1,
India,,,1,,
Indonesia,,,1,,1
Ireland,,,,1,
Iran,,,1,,
Iraq,,,1,,
Israel,,,1,,
Italy,,,,1,
Cote D'Ivoire,1,,,,
Ivory Coast,1,,,,
Jamaica,,1,,,
Jordan,,,1,,
Japan,,,1,,
Kenya,1,,,,
Korea,,,1,,
Kosovo,,,,1,
Kuwait,,,1,,
Kyrgyzstan,,,1,,
Kazakhstan,,,1,,
Laos,,,1,,
Latvia,,,,1,
Liberia,1,,,,
Lebanon,,,1,,
Lesotho,1,,,,
Libya,1,,,,
Lithuania,,,,1,
Luxembourg,,,,1,
Mauritania,1,,,,
Macedonia,,,,1,
Madagascar,1,,,,
Malaysia,,,1,,
Mauritius,1,,,,
Malawi,1,,,,
Mexico,,1,,,
Moldova,,,,1,
Mali,1,,,,
Montenegro,,,,1,
Modena,,,,1,
Mongolia,,,1,,
Morocco,1,,,,
Myanmar (Burma),,,1,,
Mozambique,1,,,,
Namibia,1,,,,
Nepal,,,1,,
New Zealand,,,,,1
Nicaragua,,1,,,
Nigeria,1,,,,
Niger,1,,,,
Norway,,,,1,
Netherlands,,,,1,
Orange Free State,1,,,,
Oman,,,1,,
Pakistan,,,1,,
Panama,,1,,,
Papal States,,,,1,
Paraguay,,1,,,
Peru,,1,,,
Philippines,,,1,,1
Parma,,,,1,
Papua New Guinea,,,,,1
Poland,,,,1,
Portugal,,,,1,
Korea North,,,1,,
Qatar,,,1,,
Korea South,,,1,,
Romania,,,,1,
Russia,,,1,1,
South Vietnam,,,1,,
Rwanda,1,,,,
South Africa,1,,,,
El Salvador,,1,,,
Sardinia,,,,1,
Saudi Arabia,,,1,,
Saxony,,,,1,
Sudan-North,1,,,,
Senegal,1,,,,
Serbia,,,,1,
Two Sicilies,,,,1,
Sierra Leone,1,,,,
Singapore,,,,1,
Slovak Republic,,,,1,
Slovenia,,,,1,
Solomon Islands,,,,,1
Somalia,1,,,,
Spain,,,,1,
Sri Lanka,,,1,,
South Sudan,1,,,,
Sudan,1,,,,
Suriname,,1,,,
Swaziland,1,,,,
Sweden,,,,1,
Switzerland,,,,1,
Syria,,,1,,
Tajikistan,,,1,,
Taiwan,,,1,,
Tanzania,1,,,,
Thailand,,,1,,
Turkmenistan,,,1,,
Togo,1,,,,
Trinidad and Tobago,,1,,,
Tunisia,1,,,,
Turkey,,,1,1,
Tuscany,,,,1,
UAE,,,1,,
Uganda,1,,,,
United Kingdom,,,,1,
Ukraine,,,,1,
United Province CA,,1,,,
Uruguay,,1,,,
United States,,1,,,
USSR,,,1,1,
Uzbekistan,,,1,,
Venezuela,,1,,,
Vietnam,,,1,,
Wuerttemburg,,,,1,
Yemen North,,,1,,
Yemen,,,1,,
Yugoslavia,,,,1,
Serbia and Montenegro,,,,1,
Yemen South,,,1,,
Congo Kinshasa,1,,,,
Zambia,1,,,,
Zimbabwe,1,,,,