country,USSR,Arab Spring,,,
Afghanistan,,,,,
Albania,,,,,
Algeria,,1,,,
Angola,,,,,
Argentina,,,,,
Armenia,1,,,,
Australia,,,,,
Austria,,,,,
Azerbaijan,1,,,,
Baden,,,,,
Bahrain,,1,,,
Bavaria,,,,,
Belgium,,,,,
Benin,,,,,
Burkina Faso,,,,,
Bhutan,,,,,
Belarus,1,,,,
Bangladesh,,,,,
Bolivia,,,,,
Bosnia,,,,,
Botswana,,,,,
Brazil,,,,,
Burundi,,,,,
Bulgaria,,,,,
Cambodia,,,,,
Canada,,,,,
Cameroon,,,,,
Cape Verde,,,,,
Central African Republic,,,,,
Chad,,,,,
Chile,,,,,
China,,,,,
Colombia,,,,,
Comoros,,,,,
Congo-Brazzaville,,,,,
Congo Brazzaville,,,,,
Costa Rica,,,,,
Croatia,,,,,
Cuba,,,,,
Cyprus,,,,,
Czechoslovakia,,,,,
Czech Republic,,,,,
Denmark,,,,,
Djibouti,,,,,
Dominican Republic,,,,,
Vietnam North,,,,,
Ecuador,,,,,
Egypt,,1,,,
Equatorial Guinea,,,,,
Eritrea,,,,,
Estonia,1,,,,
Ethiopia,,,,,
Timor Leste,,,,,
Finland,,,,,
Fiji,,,,,
France,,,,,
Gabon,,,,,
Gambia,,,,,
Gran Colombia,,,,,
Germany East,,,,,
Germany West,,,,,
Ghana,,,,,
Prussia,,,,,
Germany,,,,,
Guinea-Bissau,,,,,
Greece,,,,,
Georgia,1,,,,
Guatemala,,,,,
Guinea,,,,,
Guyana,,,,,
Haiti,,,,,
Honduras,,,,,
Hungary,,,,,
India,,,,,
Indonesia,,,,,
Ireland,,,,,
Iran,,,,,
Iraq,,,,,
Israel,,,,,
Italy,,,,,
Cote D'Ivoire,,,,,
Ivory Coast,,,,,
Jamaica,,,,,
Jordan,,1,,,
Japan,,,,,
Kenya,,,,,
Korea,,,,,
Kosovo,,,,,
Kuwait,,,,,
Kyrgyzstan,1,,,,
Kazakhstan,1,,,,
Laos,,,,,
Latvia,1,,,,
Liberia,,,,,
Lebanon,,1,,,
Lesotho,,,,,
Libya,,1,,,
Lithuania,1,,,,
Luxembourg,,,,,
Mauritania,,,,,
Macedonia,,,,,
Madagascar,,,,,
Malaysia,,,,,
Mauritius,,,,,
Malawi,,,,,
Mexico,,,,,
Moldova,1,,,,
Mali,,,,,
Montenegro,,,,,
Modena,,,,,
Mongolia,,,,,
Morocco,,1,,,
Myanmar (Burma),,,,,
Mozambique,,,,,
Namibia,,,,,
Nepal,,,,,
New Zealand,,,,,
Nicaragua,,,,,
Nigeria,,,,,
Niger,,,,,
Norway,,,,,
Netherlands,,,,,
Orange Free State,,,,,
Oman,,1,,,
Pakistan,,,,,
Panama,,,,,
Papal States,,,,,
Paraguay,,,,,
Peru,,,,,
Philippines,,,,,
Parma,,,,,
Papua New Guinea,,,,,
Poland,,,,,
Portugal,,,,,
Korea North,,,,,
Qatar,,,,,
Korea South,,,,,
Romania,,,,,
Russia,1,,,,
South Vietnam,,,,,
Rwanda,,,,,
South Africa,,,,,
El Salvador,,,,,
Sardinia,,,,,
Saudi Arabia,,,,,
Saxony,,,,,
Sudan-North,,,,,
Senegal,,,,,
Serbia,,,,,
Two Sicilies,,,,,
Sierra Leone,,,,,
Singapore,,,,,
Slovak Republic,,,,,
Slovenia,,,,,
Solomon Islands,,,,,
Somalia,,,,,
Spain,,,,,
Sri Lanka,,,,,
South Sudan,,,,,
Sudan,,1,,,
Suriname,,,,,
Swaziland,,,,,
Sweden,,,,,
Switzerland,,,,,
Syria,,1,,,
Tajikistan,1,,,,
Taiwan,,,,,
Tanzania,,,,,
Thailand,,,,,
Turkmenistan,1,,,,
Togo,,,,,
Trinidad and Tobago,,,,,
Tunisia,,1,,,
Turkey,,,,,
Tuscany,,,,,
UAE,,,,,
Uganda,,,,,
United Kingdom,,,,,
Ukraine,1,,,,
United Province CA,,,,,
Uruguay,,,,,
United States,,,,,
USSR,,,,,
Uzbekistan,1,,,,
Venezuela,,,,,
Vietnam,,,,,
Wuerttemburg,,,,,
Yemen North,,,,,
Yemen,,1,,,
Yugoslavia,,,,,
Serbia and Montenegro,,,,,
Yemen South,,,,,
Congo Kinshasa,,,,,
Zambia,,,,,
Zimbabwe,,,,,